"ns2:Token","id","Position","PositionSortOrder","URL","Chapter","ChapterId"
"b6604541-7002-4040-965c-62e7c1d05d39","15e0f9a5-8614-40a4-a549-3e968232c426","Vice President","2","https://management.nursingsociety.org/Chapter/001","Alpha Chapter","d1176709-9c4c-4698-bb1b-715a1962c63b"
"b6604541-7002-4040-965c-62e7c1d05d39","6918054d-3bad-4ea2-93c6-e9bb34c0cf4e","Governance Chair","6","https://management.nursingsociety.org/Chapter/001","Alpha Chapter","d1176709-9c4c-4698-bb1b-715a1962c63b"
"b6604541-7002-4040-965c-62e7c1d05d39","03a99d9c-f2ee-4af1-af9b-2632e26d3baa","Governance Committee Member","7","https://management.nursingsociety.org/Chapter/001","Alpha Chapter","d1176709-9c4c-4698-bb1b-715a1962c63b"
"b6604541-7002-4040-965c-62e7c1d05d39","77a30587-93d0-4944-a54a-9ccc2863317c","Leadership Succession Chair","7","https://management.nursingsociety.org/Chapter/001","Alpha Chapter","d1176709-9c4c-4698-bb1b-715a1962c63b"
"b6604541-7002-4040-965c-62e7c1d05d39","219a30b9-c639-4e7c-bdef-a3916361f564","Governance Committee Member","7","https://management.nursingsociety.org/Chapter/003","Delta Chapter","2fa8bda9-86c3-4a8c-bcbe-ea426d2fa242"
"b6604541-7002-4040-965c-62e7c1d05d39","bbc4edc2-628c-4476-9daf-78bcbe42418e","Leadership Succession Committee Member","7","https://management.nursingsociety.org/Chapter/003","Delta Chapter","2fa8bda9-86c3-4a8c-bcbe-ea426d2fa242"
"b6604541-7002-4040-965c-62e7c1d05d39","d5b144c2-e6cc-4c28-afe1-6f12bc7e4943","President","1","https://management.nursingsociety.org/Chapter/004","Epsilon Chapter","95dd5090-1eae-42b7-8f42-82a16f96eda8"
"b6604541-7002-4040-965c-62e7c1d05d39","a6d071ed-6598-4d98-b465-76755f98a92e","Vice President","2","https://management.nursingsociety.org/Chapter/004","Epsilon Chapter","95dd5090-1eae-42b7-8f42-82a16f96eda8"
"b6604541-7002-4040-965c-62e7c1d05d39","08a5eb8b-282c-443f-920d-7bdd26768ec0","Convention Delegate 2","5","https://management.nursingsociety.org/Chapter/004","Epsilon Chapter","95dd5090-1eae-42b7-8f42-82a16f96eda8"
"b6604541-7002-4040-965c-62e7c1d05d39","dda31522-e601-467d-9050-a8b3937152ab","Leadership Succession Committee Member","7","https://management.nursingsociety.org/Chapter/004","Epsilon Chapter","95dd5090-1eae-42b7-8f42-82a16f96eda8"
"b6604541-7002-4040-965c-62e7c1d05d39","2aac5aa0-1046-4e2e-aa87-cb3ed5ca7784","Treasurer","7","https://management.nursingsociety.org/Chapter/004","Epsilon Chapter","95dd5090-1eae-42b7-8f42-82a16f96eda8"
"b6604541-7002-4040-965c-62e7c1d05d39","65f87682-28c2-4c1e-a126-46feb99db80f","Vice President","2","https://management.nursingsociety.org/Chapter/005","Zeta Chapter","3705a0c2-6d6e-4a06-8f6f-8de6a3e51ba8"
